"Временска ознака","Pol","Obrazovanje:","Da li imate radno iskustvo?","Ukoliko ste na prethodno pitanje odgovorila ""Da"", upišite godine iskustva:","Smatrate li da žene u manjoj meri pokazuju interesovanje za tehničke nauke?","Smatrate li da su žene tehnički manje sposobne od muškaraca kada je programiranje u pitanju?","Smatrate li da određene firme tokom procesa selekcije kandidata pokazuju negativnu pristrasnost prema ženama?","Smatrate li da žene u IT industriji zarađuju manje od muškaraca?","Smatrate li da žene u IT sektoru nisu toliko fleksibilne, posvećene i dostupne za rad zbog porodičnih obaveza?","Smatrate li da firme češće daju prednost kandidatima sa formalnim obrazovanjem?","Mislite li da je formalno obrazovanje neophodno da bi se neko smatrao kvalifikovanim programerom?","Smatrate li da su kandidati sa diplomom iz informatike ili srodnih nauka uvek bolji izbor za IT pozicije u poređenju sa samoukim programerima?","Da li verujete da su samouki programeri često potcenjeni u odnosu na kandidate sa formalnim obrazovanjem?","Smatrate li da formalno obrazovanje može ograničiti kreativnost u pronalaženju rešenja u IT industriji?","Da li ste se susreli sa predrasudama o Vašem znanju na osnovu proseka na studijama?","Da li ste se susreli sa predrasudama o Vašim sposobnostima zbog manjka iskustva? ","Da li smatrate da programeri sa akademskim obrazovanjem nemaju praktične veštine?","Smatrate li da kandidati koji su završili studije na privatnim univerzitetima imaju manje znanja od kandidata sa državnih fakulteta?","Smatrate li da će kandidati sa završenim master studijama imati prednost u odnosu na kandidate sa završenim osnovnim studijama?","Smatrate li da su mlađi programeri produktivniji i fleksibilniji?","Smatrate li da stariji radnici imaju problema sa brzinom prilagođavanja novim tehnologijama?","Smatrate li da stariji radnici u IT sektoru donose stabilnost i analitičnost?","Smatrate li da će starije kolege zbog privatnih obaveza biti manje fokusirane na posao od mlađih programera?","Smatrate li da programeri koji su započeli karijeru u kasnijoj životnoj dobi imaju jednake šanse za uspeh kao i programeri koji su karijeru započeli ranije?"
"2024/11/13 11:28:16 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Da","Ne","Da","Da","Da","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 1:22:29 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Da","Da","Da","Ne","Da","Da","Ne","Da","Da","Ne","Da","Da","Da","Ne","Da","Ne","Ne"
"2024/11/14 1:23:30 PM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Da"
"2024/11/14 1:24:40 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Da","Ne","Da","Da","Da","Ne","Ne"
"2024/11/14 1:32:31 PM CET","Muški","Formalno obrazovanje","Da","2","Da","Ne","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Da","Ne","Da","Ne","Da","Da","Ne"
"2024/11/14 1:34:07 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Ne","Da"
"2024/11/14 1:34:45 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Da","Ne","Da"
"2024/11/14 1:35:55 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Da","Ne","Ne","Da","Ne","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Ne","Ne"
"2024/11/14 1:36:19 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Ne","Da","Da","Da","Da","Ne","Ne","Da","Da","Ne","Da","Ne","Da","Da","Ne","Da"
"2024/11/14 1:37:17 PM CET","Muški","Formalno obrazovanje","Da","","Da","Ne","Da","Da","Ne","Da","Ne","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Ne"
